num_distr,mouse.time,mouse.clicked_name,,,,,,,,num_distr,mouse.time,mouse.clicked_name
5,[2.087421900127083],['target'],,,,,,,,10,[1.438655599951744],['target']
5,[1.4392194000538439],['target'],,,,,,,,10,[1.803105300059542],['target']
5,[2.1114310000557452],[],,,,,,,,10,[2.4191384001169354],['target']
5,[1.7889489999506623],['target'],,,,,,,,10,[1.174680600175634],['target']
5,[2.036543099908158],['target'],,,,,,,,10,[2.5179299998562783],['target']
5,[1.7513802000321448],['target'],,,,,,,,10,[2.585751899983734],['target']
5,[1.4471871999558061],['target'],,,,,,,,10,[2.0029849999118596],['target']
5,[1.513069499982521],['target'],,,,,,,,10,[1.1251532998867333],['target']
5,[2.4936627000570297],['target'],,,,,,,,10,[1.806394699960947],['target']
5,[2.0738161001354456],['target'],,,,,,,,10,[2.2217497997917235],['target']
5,[2.287072699982673],['target'],,,,,,,,10,[1.5231035999022424],['target']
5,[1.537346800090745],['target'],,,,,,,,10,[1.9373714998364449],['target']
5,[2.1172027001157403],[],,,,,,,,10,[2.171141100116074],['target']
5,[2.367802199907601],['target'],,,,,,,,10,[1.3083008001558483],['target']
5,[1.5265612001530826],['target'],,,,,,,,10,[1.7055043999571353],['target']
5,[2.0678007998503745],['target'],,,,,,,,10,[2.43694689986296],['target']
5,[1.9296772999223322],['target'],,,,,,,,10,[1.3738915000576526],['target']
5,[2.1419378998689353],['target'],,,,,,,,10,[2.6018683000002056],['target']
5,[1.9132381998933852],['target'],,,,,,,,10,[2.4197971001267433],['target']
5,[1.6798416001256555],['target'],,,,,,,,10,[1.109233799856156],['target']
5,[2.0883227000012994],['target'],,,,,,,,10,[1.9885967001318932],['target']
5,[2.0938544999808073],['target'],,,,,,,,10,[1.7202314001042396],['target']
5,[2.1696512999478728],['target'],,,,,,,,10,[1.8029052999336272],['target']
5,[1.4746666001155972],['target'],,,,,,,,10,[2.1356116000097245],['target']
5,[3.6721230999100953],['target'],,,,,,,,10,[1.5718843000940979],['target']
5,[1.895404600072652],['target'],,,,,,,,10,[1.8221575000789016],['target']
5,[1.6420996999368072],['target'],,,,,,,,10,[1.8549407999962568],['target']
5,[1.7744790001306683],['target'],,,,,,,,10,[1.7399056998547167],['target']
5,[1.686441299971193],['target'],,,,,,,,10,[2.567657999927178],['target']
5,[2.1414835001342],[],,,,,,,,10,[1.4068339001387358],['target']
5,[1.7020839999895543],['target'],,,,,,,,10,[1.9539288999512792],['target']
5,[1.4295584000647068],['target'],,,,,,,,10,[1.672459000023082],['target']
5,[1.89050199999474],['target'],,,,,,,,10,[2.852229599840939],['target']
5,[2.211024400079623],['target'],,,,,,,,10,[1.987573100021109],['target']
5,[1.5646947999484837],['target'],,,,,,,,10,[1.5053023998625576],['target']
5,[1.68005510000512],['target'],,,,,,,,10,[2.0548101998865604],['target']
